id,kanji,kana,eng,part_of_speech
1,,일주일,One Week,
2,,동,Dong,
3,,규정,Rule,
4,,상대,Opponent,
5,,식물,Plant,
6,,위대하다,Great,
7,,장군,General,
8,,우려,Concern,
9,,후반,Second Half,
10,,부담,Burden,
11,,통합,Integrated,
12,,고모,Aunt,
13,,모시다,Wait On,
14,,낮,Afternoon,
15,,자전거,Bicycle,
16,,점점,Increasingly,
17,,늘다,Gain,
18,,희다,White,
19,,깨닫다,Realize,
20,,세월,Time,
21,,수도,Capital,
22,,평,Flat,
23,,쳐다보다,To Look At,
24,,푸르다,Blue,
25,,대학생,College Student,
26,,살아오다,Come Alive,
27,,열,Heat,
28,,불다,Blow,
29,,보도,Sidewalk,
30,,내일,Tomorrow,
31,,임신,Pregnant,
32,,시리즈,Series,
33,,일월,January,
34,,거부하다,Reject,
35,,혹시,Perhaps,
36,,연구소,Laboratory,
37,,폭,Width,
38,,병,Party,
39,,작용하다,Apply,
40,,수석,Top,
41,,무어,Moore,
42,,양식,Form,
43,,그만두다,Quit,
44,,목,Neck,
45,,벽,Wall,
46,,지도자,Leader,
47,,성,Castle,
48,,서비스,Service,
49,,수요,Demand,
50,,저기,There,
51,,습관,Habit,
52,,미래,Future,
53,,내부,Inside,
54,,마당,Yard,
55,,철학,Philosophy,
56,,적어도,At Least,
57,,말씀하다,Speak,
58,,시골,Country,
59,,눈길,Line Of Vision,
60,,온,On,
61,,예산,Budget,
62,,행사,Event,
63,,평화,Peace,
64,,조미료,Condiment,
65,,외치다,Shout Out,
66,,우산,Umbrella,
67,,충격,Shock,
68,,끓이다,Boil,
69,,검다,Black,
70,,외부,Out,
71,,과학자,Scientist,
72,,상식,Common Sense,
73,,쓰다,Write,
74,,시원하다,Cool,
75,,젖다,Get Wet,
76,,불편하다,Uncomfortable,
77,,대구,Dae-Gu,
78,,어둠,Darkness,
79,,그릇,Bowl,
80,,요리,Cooking,
81,,비밀,Secret,
82,,짝,Match,
83,,실천하다,Practice,
84,,판매,Sale,
85,,고민,Worry,
86,,권,Volume,
87,,도로,Road Name,
88,,이외,Other Than,
89,,겨우,Barely,
90,,미치다,Crazy,
91,,충분하다,Suffice,
92,,조금씩,Gradually,
93,,교회,Church,
94,,잘못,Wrong,
95,,바람직하다,Desirable,
96,,시월,October,
97,,과제,Assignment,
98,,잡히다,Be Caught,
99,,꼬리,Tail,
100,,물어보다,Ask,
101,,가난하다,Poor,
102,,맡기다,Entrust,
103,,이념,Ideology,
104,,강,River,
105,,법,Law,
106,,중간,Middle,
107,,해결하다,Solve,
108,,법률,Law,
109,,자녀,Children,
110,,춥다,Cold,
111,,위기,Danger,
112,,판단,Judgment,
113,,용기,Courage,
114,,피,Blood,
115,,비로소,For The First Time,
116,,시계,Watch,
117,,달려가다,Run,
118,,문화재,Cultural Heritage,
119,,첫째,First,
120,,미소,Smile,
121,,댁,Home,
122,,매체,Media,
123,,무척,Very,
124,,잡지,Magazine,
125,,불리다,Be Called,
126,,범위,Range,
127,,자네,You,
128,,문제점,Problem,
129,,세대,Generation,
130,,정상,Normal,
131,,상당하다,Considerable,
132,,길이,Length,
133,,칠월,July,
134,,종이,Paper,
135,,치르다,Pay,
136,,무겁다,Heavy,
137,,군사,Military,
138,,거리,Street,
139,,담기다,Put In,
140,,데리다,Be Accompanied,
141,,비판,Criticism,
142,,식당,Restaurant,
143,,십이월,December,
144,,더불다,Together,
145,,쏟아지다,Pour Out,
146,,오염,Pollution,
147,,기쁨,Pleasure,
148,,남쪽,South,
149,,지다,Lose,
150,,한글,Korean,
151,,계시다,Be There,
152,,사용되다,Be Used,
153,,선택하다,Choose,
154,,예전,Previous,
155,,그림자,Shadow,
156,,착하다,Be Good,
157,,맞다,Hit,
158,,고급,Advanced,
159,,걸음,Step,
160,,걱정,Worry,
161,,단위,Unit,
162,,아까,Earlier,
163,,끊임없이,Endlessly,
164,,참여하다,Participate,
165,,싣다,Load,
166,,입술,Lips,
167,,높이다,Heighten,
168,,굽다,Bake,
169,,특별,Special,
170,,뽑다,Select,
171,,네,Yes,
172,,용어,Terms,
173,,지혜,Wisdom,
174,,찍다,Hew,
175,,일정하다,Constant,
176,,군대,Military,
177,,오전,Morning,
178,,참새,Sparrow,
179,,농사,Farming,
180,,줄어들다,Decrease,
181,,기쁘다,Happy,
182,,기름,Oil,
183,,피다,Blossom,
184,,한때,Onetime,
185,,보통,Usually,
186,,제외하다,Except,
187,,차리다,Set Up,
188,,오랜,Long-Time,
189,,앞두다,Ahead,
190,,도서관,Library,
191,,붉다,Red,
192,,올라오다,Come Up,
193,,판결,Verdict,
194,,양,Sheep,
195,,부문,Sector,
196,,이익,Profit,
197,,기대,Expectation,
198,,분석하다,Analyze,
199,,거두다,Reap,
200,,바르다,Cover,
201,,토론,Debate,
202,,불가능하다,Impossible,
203,,그래,Okay,
204,,예술가,Artist,
205,,알맞다,Fit,
206,,민간,Civilian,
207,,안정,Stability,
208,,익히다,To Cook,
209,,정당,Party,
210,,효과적,Effective,
211,,젊은이,Young People,
212,,발달,Develop,
213,,종,Bell,
214,,그램,Gram,
215,,중세,Middle Ages,
216,,주부,Housewife,
217,,결혼하다,Get Married,
218,,부족,Lack,
219,,실수,Mistake,
220,,지대,Belt,
221,,굵다,Thick,
222,,체험,Experience,
223,,가을,Autumn,
224,,코,Sleep,
225,,다녀오다,Go To,
226,,주식,Stock,
227,,이래,Since,
228,,비싸다,Expensive,
229,,수많다,Numerous,
230,,오랫동안,For A Long Time,
231,,건,Case,
232,,관객,Audience,
233,,화장실,Restroom,
234,,독특하다,Special,
235,,상상,Imagination,
236,,유명하다,Famous,
237,,충분히,Enough,
238,,직업,Job,
239,,특별하다,Special,
240,,왼쪽,Left,
241,,잘못하다,Do Wrong,
242,,어둡다,Dark,
243,,한두,One Or Two,
244,,풍부하다,Abundant,
245,,과일,Fruit,
246,,고려하다,Consider,
247,,개선,Improvement,
248,,매일,Everyday,
249,,부인,Wife,
250,,위,Stomach,
251,,간단하다,Simple,
252,,방문하다,Visit,
253,,증가하다,Increase,
254,,당연하다,Of Course,
255,,호,Like,
256,,막,Membrane,
257,,점,Dot,
258,,가리키다,Point Out,
259,,체육,Athletic,
260,,구속,Restriction,
261,,어쨌든,Anyway,
262,,스포츠,Sports,
263,,감각,Sense,
264,,꽤,Fairly,
265,,신화,Mythology,
266,,관련하다,Relate,
267,,단순히,Simply,
268,,눈앞,In Front Of,
269,,아무것,Nothing,
270,,오른쪽,Right Side,
271,,잎,Leaf,
272,,아예,At All,
273,,상표,Brand,
274,,화,Fury,
275,,스스로,Myself,
276,,직원,Employee,
277,,꾸미다,Decorate,
278,,미리,Already,
279,,본격적,Full-Fledged,
280,,지켜보다,Watch,
281,,법원,Court,
282,,조,Article,
283,,스트레스,Stress,
284,,에너지,Energy,
285,,이어,Following,
286,,놀이,Play,
287,,기초,Basic,
288,,색,Color,
289,,닿다,Reach,
290,,자유롭다,Free,
291,,아주머니,Madam,
292,,고치다,Fix,
293,,심다,Plant,
294,,어려움,Difficulty,
295,,온갖,All Kinds Of,
296,,끊다,Quit,
297,,형성,Formation,
298,,잘못되다,Go Wrong,
299,,막,Membrane,
300,,숙제,Homework,
301,,사실상,Virtually,
302,,인구,Population,
303,,내밀다,Hold Out,
304,,연습,Practice,
305,,더하다,Add,
306,,배경,Background,
307,,별,Star,
308,,틀리다,Wrong,
309,,사물,Objects,
310,,흐름,Flow,
311,,활용하다,Utilize,
312,,넘어서다,Go Beyond,
313,,약속,Appointment,
314,,다소,A Little,
315,,태양,Sun,
316,,고등학교,High School,
317,,팔월,August,
318,,군,Army,
319,,낫다,Better,
320,,사회적,Social,
321,,올림픽,Olympic,
322,,위원,Commissioner,
323,,인사,Greetings,
324,,자원,Resource,
325,,놀랍다,Surprising,
326,,관광,Tourism,
327,,톤,Ton,
328,,멈추다,Stop,
329,,미술,Art,
330,,건강하다,Healthy,
331,,근처,Near By,
332,,질문,Questions,
333,,상대적,Relative,
334,,살피다,Watch,
335,,마르다,Dry,
336,,가꾸다,Nurture,
337,,애쓰다,Whittle Away,
338,,개,Dog,
339,,그만큼,That Much,
340,,바르다,Cover,
341,,그,That,
342,,이러다,Like This,
343,,의미하다,Mean,
344,,어찌,How,
345,,몹시,Very,
346,,깊이,Depth,
347,,접근,Access,
348,,왜냐하면,Because,
349,,근거,Evidence,
350,,차라리,Rather,
351,,보호하다,Protect,
352,,쌓다,Stack,
353,,공사,Corporation,
354,,방학,Vacation,
355,,아끼다,Grudge,
356,,견해,View,
357,,기본적,Basic,
358,,숫자,Number,
359,,왕,King,
360,,너희,You Guys,
361,,좁다,Narrow,
362,,쓰이다,Write,
363,,사정,Circumstances,
364,,대체로,Generally,
365,,밀리미터,Millimeter,
366,,택시,Taxi,
367,,교실,Classroom,
368,,가게,Store,
369,,평소,Usually,
370,,그치다,Stop,
371,,높아지다,To Rise,
372,,불만,Dissatisfaction,
373,,연기,Performance,
374,,끝내다,Finish,
375,,운명,Fate,
376,,농촌,Rural,
377,,바람,Wind,
378,,보통,Usually,
379,,짓,Act,
380,,부족,Lack,
381,,평균,Average,
382,,자르다,Cut,
383,,진행되다,Proceed,
384,,고객,Customer,
385,,새끼,Young,
386,,도,Degree,
387,,소금,Salt,
388,,넘어가다,Skip,
389,,총장,President,
390,,방문,Visit,
391,,부모님,Parents,
392,,맺다,Form,
393,,편하다,Relaxing,
394,,인사,Greetings,
395,,비교적,Comparative,
396,,게다가,Furthermore,
397,,깨끗하다,Clean,
398,,극복하다,Overcome,
399,,나머지,Remainder,
400,,백성,The People,
401,,신,God,
402,,점차,Gradually,
403,,내년,Next Year,
404,,외국인,Foreigner,
405,,선물,Gift,
406,,견디다,Endure,
407,,소득,Income,
408,,의사,Doctor,
409,,침대,Bed,
410,,다가오다,To Come Closer,
411,,공기,Air,
412,,시위,Demonstration,
413,,논리,Logic,
414,,처리,Process,
415,,화면,Screen,
416,,발표,Announcement,
417,,죽이다,To Kill,
418,,양,Sheep,
419,,옳다,Right,
420,,놓이다,Go,
421,,뿌리,Root,
422,,올바르다,Correct,
423,,지도,Map,
424,,소개하다,Introduce,
425,,거리,Street,
426,,만약,If,
427,,상처,Wound,
428,,단순하다,Simple,
429,,진리,Truth,
430,,쥐다,Hold,
431,,흙,Soil,
432,,맨,Man,
433,,걔,Him,
434,,후보,Candidate,
435,,대답,Answer,
436,,농산물,Agricultural Products,
437,,지배하다,Rule,
438,,시스템,System,
439,,형성되다,Formed,
440,,전기,Electricity,
441,,다하다,Fulfill,
442,,섞다,Combine,
443,,부족하다,Lack,
444,,재미,Fun,
445,,날씨,Weather,
446,,참여,Participation,
447,,고생,Hardship,
448,,실시,Practice,
449,,약하다,Weak,
450,,무용,Dancing,
451,,일어서다,Get Up,
452,,꼴,Form,
453,,주어지다,Be Given,
454,,초,Candle,
455,,자꾸,Repeatedly,
456,,마리,Number Of Animals,
457,,바닥,Floor,
458,,사무실,Office,
459,,누나,Sister,
460,,박물관,Museum,
461,,식량,Food,
462,,볶다,Fry,
463,,영역,Area,
464,,박사,Doctor,
465,,인식하다,Cognize,
466,,전망,View,
467,,틀,Frame,
468,,연구하다,Research,
469,,폭력,Violence,
470,,기록하다,Record,
471,,대표적,Typical,
472,,모델,Model,
473,,소유,Possession,
474,,단지,Only,
475,,소문,Rumor,
476,,집안,House Management,
477,,원래,Usually,
478,,복잡하다,Complicated,
479,,무역,Trade,
480,,밀다,Push,
481,,도대체,Why,
482,,공급,Supply,
483,,저희,We,
484,,대형,Large,
485,,그리하여,Therefore,
486,,풀리다,Relent,
487,,수입,Income,
488,,가까이,Closely,
489,,궁금하다,Wonder,
490,,춤,Dance,
491,,지하철,Subway,
492,,개성,Individuality,
493,,기억하다,Remember,
494,,문득,Suddenly,
495,,올,All,
496,,막히다,Blocked,
497,,상대방,Opponent,
498,,깨끗이,Clean,
499,,계산,Calculate,
500,,기울이다,Incline,
501,,무릎,Knee,
502,,찾아가다,To Go Look For,
503,,곁,Neighborhood,
504,,공개,Open,
505,,생겨나다,Arise,
506,,아무래도,Probably,
507,,챙기다,Take,
508,,권리,Rights,
509,,뿌리다,Spread,
510,,포기하다,Give Up,
511,,그리,Picture,
512,,이뤄지다,Come True,
513,,쌓이다,To Stack Up,
514,,채우다,Fill,
515,,수술,Operation,
516,,도착하다,Arrive,
517,,음,Well,
518,,죄,Crime,
519,,범죄,Crime,
520,,하얗다,White,
521,,참으로,Indeed,
522,,밝다,Bright,
523,,민주화,Democratization,
524,,개발하다,Develop,
525,,식구,Family,
526,,퍼지다,Spread,
527,,사례,Case,
528,,서구,Western,
529,,소재,Material,
530,,정리하다,Straighten Out,
531,,위험,Danger,
532,,훈련,Training,
533,,지적,Point Out,
534,,식품,Food,
535,,커지다,Grow Big,
536,,적절하다,Proper,
537,,일반적,In General,
538,,상당히,Pretty,
539,,저지르다,Commit,
540,,한쪽,Pair,
541,,이사,Move,
542,,줄,Line,
543,,자,Ruler,
544,,미안하다,I'm Sorry,
545,,적다,Little,
546,,지르다,Kick,
547,,회원,Member,
548,,희망,Hope,
549,,이용,Use,
550,,누르다,Press Down,
551,,강력하다,Powerful,
552,,늙다,Old,
553,,계시다,Be There,
554,,빌리다,Borrow,
555,,기대하다,Expect,
556,,지위,Status,
557,,울리다,Make Cry,
558,,행복하다,Happy,
559,,널리,Extensively,
560,,지난달,Last Month,
561,,결론,Conclusion,
562,,개방,Opening,
563,,종합,Synthesis,
564,,전문가,Expert,
565,,가볍다,Light,
566,,비용,Cost,
567,,물체,Object,
568,,사고,Accident,
569,,역,Station,
570,,손가락,Finger,
571,,그저,Just,
572,,축구,Football,
573,,최초,The First,
574,,틀림없다,No Doubt,
575,,마침내,Finally,
576,,색깔,Color,
577,,절차,Procedure,
578,,검사,Test,
579,,비교하다,Compare With,
580,,벌어지다,Break Up,
581,,들려오다,Hear,
582,,해외,Overseas,
583,,의식하다,Be Conscious,
584,,조상,Ancestor,
585,,장면,Scene,
586,,적극적,Active,
587,,주말,Weekend,
588,,컵,Cup,
589,,시각,Time,
590,,낡다,Old,
591,,피부,Skin,
592,,프로,Pro,
593,,붓다,Pour,
594,,순서,Order,
595,,무렵,Around,
596,,싸움,Fight,
597,,달리다,Run,
598,,지하,Underground,
599,,언젠가,Someday,
600,,급,Class,
601,,현,Hyeon,
602,,치료,Cure,
603,,반대,The Opposite,
604,,비디오,Video,
605,,이쪽,This Way,
606,,참,Oh Yeah,
607,,공무원,Public Official,
608,,시작,Start,
609,,흔들다,Shake,
610,,의도,Intentions,
611,,제사,Ancestral Rites,
612,,가만히,Still,
613,,책상,Table,
614,,균형,Balance,
615,,탓,Fault,
616,,아니하다,No,
617,,분명히,Clearly,
618,,형님,Older Brother,
619,,신체,Body,
620,,논문,Thesis,
621,,부정,Denial,
622,,발견되다,Discovered,
623,,불법,Illegal,
624,,자,Ruler,
625,,교통,Traffic,
626,,가방,Bag,
627,,금방,Soon,
628,,근본적,Fundamental,
629,,대규모,Large-Scale,
630,,어서,Hurry,
631,,밟다,To Step On,
632,,반갑다,Nice To Meet,
633,,고르다,Choose,
634,,관련되다,It Is Related,
635,,핵심,Main Point,
636,,다지다,Mince,
637,,핵,Nucleus,
638,,계속하다,Continue,
639,,수출,Export,
640,,법칙,Rule,
641,,옛,Ancient,
642,,제목,Title,
643,,한참,Long Time,
644,,글자,Letter,
645,,장소,Place,
646,,흘리다,Spill,
647,,학자,Scholar,
648,,반응,Reaction,
649,,구성하다,Make Up,
650,,앞서,Previously,
651,,곱다,Pretty,
652,,기사,Article,
653,,재정,Finance,
654,,확실하다,It Is Certainly,
655,,이끌다,Lead,
656,,없애다,Delete,
657,,소프트웨어,Software,
658,,가득,Full,
659,,기13,Gi 13,
660,,판단하다,Judge,
661,,당장,Right Now,
662,,피우다,Smoke,
663,,여러분,Everyone,
664,,달다,Sweet,
665,,고장,Breakdown,
666,,천천히,Slowly,
667,,빠지다,Fall In,
668,,잘되다,Go Well,
669,,생산하다,Produce,
670,,부동산,Real Estate,
671,,주택,Housing,
672,,무너지다,Fallen,
673,,일찍,Early,
674,,이월,February,
675,,화장품,Cosmetics,
676,,마늘,Garlic,
677,,어쩌면,Perhaps,
678,,스타,Star,
679,,집다,Nip,
680,,서두르다,Hurry,
681,,밭,Field,
682,,최대,Maximum,
683,,속하다,Belong,
684,,만일,If,
685,,비행기,Airplane,
686,,넘기다,To Pass Over,
687,,구성되다,Consist Of,
688,,일요일,Sunday,
689,,실험,Experiment,
690,,숨,Breath,
691,,생각되다,Think,
692,,위원장,Chairperson,
693,,눈,Eye,
694,,주인공,Hero,
695,,추진하다,Carry Forward,
696,,기구,Instrument,
697,,수단,Method,
698,,늘리다,Increase,
699,,흔하다,Common,
700,,제공하다,Provide,
701,,너무나,Too,
702,,단,Only,
703,,오직,Only,
704,,날개,Wing,
705,,펼쳐지다,Unfold,
706,,무시하다,Ignore,
707,,계층,Hierarchy,
708,,넘치다,Spill Over,
709,,싸다,Cheap,
710,,숨다,Hide,
711,,규칙,Rule,
712,,심장,Heart,
713,,여기저기,Here And There,
714,,아울러,Together,
715,,실시되다,Carried Out,
716,,인상,Impression,
717,,구멍,Hole,
718,,세금,Tax,
719,,위험하다,Dangerous,
720,,공격,Attack,
721,,독립,Independent,
722,,입학,Admission,
723,,철저하다,Thorough,
724,,증거,Evidence,
725,,섬,Island,
726,,강화하다,Reinforce,
727,,가지,Egg Plant,
728,,위반,Violation,
729,,차량,Vehicle,
730,,포함되다,To Be Included,
731,,만화,Comic Book,
732,,틈,Aperture,
733,,글쎄,Well,
734,,감다,Reel In,
735,,대응,Response,
736,,영양,Nutrition,
737,,호랑이,Tiger,
738,,소나무,Pine Tree,
739,,북쪽,North,
740,,아마도,Maybe,
741,,어제,Yesterday,
742,,물가,Prices,
743,,어느새,Suddenly,
744,,약,Approximately,
745,,변화하다,Change,
746,,양파,Onion,
747,,고추,Pepper,
748,,물다,Bite,
749,,목숨,Life,
750,,비우다,Vacate,
751,,실정,Actual Circumstances,
752,,관념,Notion,
753,,입구,Entrance,
754,,부위,Part,
755,,몰다,Drive,
756,,성공하다,Succeed,
757,,권위,Authority,
758,,단지,Only,
759,,놓치다,To Let Go,
760,,녀석,Guy,
761,,최소한,At Least,
762,,적극,Actively,
763,,필자,Writer,
764,,처지,Situation,
765,,촬영,Filming,
766,,소비,Consumption,
767,,덮다,Cover,
768,,형제,Brother,
769,,물속,Underwater,
770,,담당,In Charge,
771,,중소기업,Small Business,
772,,화려하다,Gorgeous,
773,,신분,Identity,
774,,닫다,Close,
775,,거울,Mirror,
776,,해결,Solution,
777,,해당하다,Applicable,
778,,세계적,Worldwide,
779,,행복,Happiness,
780,,비치다,Hint,
781,,발휘하다,Show Off,
782,,초점,Focus,
783,,불안하다,Unstable,
784,,결정되다,Be Decided,
785,,여론,Public Opinion,
786,,가령,Chamberlain,
787,,빛나다,Shine,
788,,운영하다,Operate,
789,,카드,Card,
790,,병,Party,
791,,흰색,White,
792,,그이,Him,
793,,진실,Truth,
794,,반대하다,Oppose,
795,,중학교,Middle School,
796,,의복,Cloth,
797,,토대,Foundation,
798,,여유,Spare,
799,,형성하다,To Form,
800,,회복,Recovery,
801,,쇠고기,Beef,
802,,선진국,Developed Countries,
803,,실리다,Put On,
804,,감추다,Hide,
805,,압력,Pressure,
806,,보도하다,Report,
807,,설치하다,Install,
808,,아이고,Gosh,
809,,경험하다,Experience,
810,,괜히,In Vain,
811,,미루다,Postpone,
812,,서서히,Slowly,
813,,걸어가다,Walk,
814,,앓다,Be Ill,
815,,본질,Nature,
816,,안녕하다,Hello,
817,,매달리다,Hang On,
818,,제자,Disciple,
819,,머릿속,Brain,
820,,저쪽,There,
821,,필요성,Necessity,
822,,표,Graph,
823,,자신,Myself,
824,,우유,Milk,
825,,관찰하다,Observe,
826,,방송국,Broadcast Stations,
827,,태아,Fetus,
828,,재판,Trial,
829,,백화점,Department Store,
830,,화제,Issue,
831,,빵,Bread,
832,,졸업하다,Graduate,
833,,참석하다,Attend,
834,,먹이다,Batten,
835,,구역,Area,
836,,거대하다,Huge,
837,,끼다,Put On,
838,,차갑다,Cold,
839,,직후,Immediately After,
840,,몇몇,Some,
841,,단어,Word,
842,,타다,Ride,
843,,부엌,Kitchen,
844,,지시,Instruction,
845,,형편,Circumstances,
846,,협력,Cooperation,
847,,치즈,Cheese,
848,,머무르다,Stay,
849,,직접적,Direct,
850,,창문,Window,
851,,잠시,For A Bit,
852,,현실적,Realistic,
853,,잔뜩,Loads,
854,,여인,Woman,
855,,파도,Tide,
856,,스승,Teacher,
